actuals,distances,time_taken,cpu_memory_usage,ram_usage
0,0.08441092724653998,0.7062621116638184,22.6,119.125
0,0.10757499354431244,0.2112901210784912,66.9,36.15625
0,0.08365397393883278,0.19365668296813965,58.3,8.046875
1,0.017395255641928786,0.1893172264099121,58.3,4.703125
1,,0.17688298225402832,66.4,22.890625
1,0.03652285972114011,0.2057042121887207,63.2,0.4375
1,0.008014314683282953,0.18317508697509766,64.9,7.96875
0,,0.1789720058441162,0.0,18.40625
0,0.09400706276546555,0.1926259994506836,0.0,1.125
0,,0.1808302402496338,0.0,-7.625
1,0.011417960831650253,0.1985929012298584,0.0,0.0
0,0.1181835626973815,0.19065022468566895,65.7,0.015625
1,0.025582735487683195,0.18885517120361328,59.7,7.34375
1,0.019379199989675633,0.27577781677246094,67.6,6.5625
0,0.057384901008320055,0.19058823585510254,61.9,0.0
0,0.0665949112239782,0.19077515602111816,62.2,0.125
0,0.06606879467167548,0.19002699851989746,66.0,0.046875
0,0.08318431711400931,0.19255805015563965,64.7,0.0
1,0.012661543955552745,0.18412184715270996,61.6,0.0
0,0.08388553687916434,0.20929288864135742,67.4,0.0
1,0.05313226082425815,0.1857147216796875,0.0,0.0
0,0.08248091750314246,0.2358379364013672,67.1,9.921875
0,0.1049585481058175,0.1968708038330078,58.6,-0.578125
1,0.0099094210346784,0.18891191482543945,0.0,2.6875
0,0.10201276527500225,0.19891571998596191,0.0,0.015625
1,0.031028147279945295,0.19199895858764648,0.0,0.0
0,0.12001272291478404,0.19235491752624512,0.0,-3.15625
1,0.009387418114466861,0.19957709312438965,57.0,2.96875
1,0.034978604099967336,0.20708084106445312,59.5,-7.953125
0,0.07082218836261023,0.1973109245300293,0.0,0.03125
1,0.003549244002727603,0.20105481147766113,0.0,1.171875
0,0.09314448186388169,0.1963820457458496,0.0,-1.453125
1,0.011971916542236838,0.1986379623413086,58.9,3.0
0,0.07178490695974338,0.2967839241027832,59.7,0.875
0,,0.18064308166503906,59.2,0.0
0,0.0966846246635149,0.2316422462463379,71.9,-54.96875
1,0.012131437904510434,0.20277976989746094,67.1,6.90625
0,0.051899870542791104,0.1980609893798828,69.2,5.421875
1,0.023006622895825668,0.18488383293151855,68.7,6.484375
0,0.14976776283558246,0.1914811134338379,70.5,14.640625
0,0.06545980989524214,0.19978094100952148,71.3,8.265625
1,0.03225389181489735,0.2247910499572754,74.3,-87.296875
1,0.049568052540337026,0.2421708106994629,74.6,-8.6875
1,0.05546134818781012,0.24512887001037598,79.5,-87.28125
0,0.05728082850407601,0.2547128200531006,78.8,-46.390625
1,0.01171646753821265,0.21457910537719727,74.0,-7.1875
1,0.016741311506644596,0.2026679515838623,70.8,4.71875
1,0.014149928247361387,0.2070457935333252,75.7,15.171875
1,0.02436236716411566,0.25348711013793945,79.6,-0.25
1,0.0158731092417429,0.22136497497558594,69.3,1.140625
1,0.006589911816391569,0.19530892372131348,74.2,-1.703125
1,0.012895991193338396,0.18778085708618164,80.0,1.1875
0,0.11130988695964783,0.19945693016052246,77.7,0.046875
