actuals,distances,time_taken,cpu_memory_usage,ram_usage
1,1.6567141,0.37705183029174805,24.7,70.53125
1,1.8819689,0.2171180248260498,57.5,14.34375
1,0.3172618,0.2547180652618408,66.7,6.203125
1,0.8574951,0.20827698707580566,0.0,3.84375
1,1.5726506,0.20472192764282227,0.0,13.515625
1,0.88225657,0.2641611099243164,57.4,0.3125
1,0.83230644,0.20629405975341797,53.0,5.578125
1,0.8641227,0.20831012725830078,53.3,5.5
1,1.7751828,0.20714282989501953,52.7,5.53125
1,0.8744349,0.20408296585083008,53.0,9.15625
1,0.37510777,0.20510101318359375,51.5,0.09375
1,1.583705,0.20458483695983887,52.7,0.015625
1,0.79183286,0.21356487274169922,55.1,2.0
1,1.8270295,0.20279502868652344,0.0,0.046875
1,1.5726506,0.20530200004577637,0.0,1.765625
1,1.8285031,0.2031879425048828,53.0,7.5
1,0.80158216,0.23982691764831543,52.1,0.015625
1,1.6877849,0.20075011253356934,0.0,5.515625
1,0.7320141,0.2037670612335205,0.0,0.0
1,0.43182546,0.20627284049987793,0.0,0.0
1,1.690576,0.2019519805908203,53.0,0.0
1,1.3902608,0.20572113990783691,51.8,0.0
1,0.623188,0.20009589195251465,51.3,0.0
1,1.1444261,0.20340180397033691,52.8,0.0
1,1.9098763,0.20222210884094238,51.5,0.015625
1,1.0777802,0.201401948928833,52.7,0.0
1,1.7466514,0.20486187934875488,51.5,0.0
1,0.8469975,0.24306607246398926,52.3,0.0
1,1.1398276,0.20235776901245117,52.4,0.0
1,0.7320141,0.20119404792785645,51.2,0.0
1,1.9135355,0.2040860652923584,52.1,0.0
1,0.8744349,0.19886016845703125,50.6,0.0
1,1.7556174,0.20171213150024414,50.9,0.0
1,1.76286,0.20578622817993164,51.5,5.5
1,1.4876592,0.20413517951965332,51.2,0.0
1,1.63054,0.20598125457763672,51.8,0.0
1,1.6946628,0.21079325675964355,52.4,0.15625
1,1.690576,0.2003769874572754,0.0,5.5
1,1.7904178,0.26885199546813965,0.0,0.03125
1,0.83230644,0.2855689525604248,0.0,-0.125
1,1.7601452,0.27560997009277344,60.4,-8.8125
1,1.7065036,0.2489910125732422,61.0,-15.265625
1,0.7759809,0.23443078994750977,62.4,10.453125
1,1.8997734,0.2581160068511963,60.2,4.625
1,0.83842695,0.21515822410583496,52.6,0.703125
1,1.8820007,0.20541000366210938,50.9,3.21875
1,0.623188,0.20636677742004395,51.5,0.0
1,1.9625024,0.21411919593811035,54.3,1.765625
1,1.9405878,0.20412421226501465,51.2,0.0
1,0.9960932,0.2434539794921875,50.5,0.0
1,0.9067775,0.20487427711486816,52.1,0.0
1,1.6085954,0.20116305351257324,50.3,0.015625
1,1.1593578,0.2057631015777588,51.8,0.015625
1,1.2142094,0.20058488845825195,50.6,0.0625
1,1.7853259,0.20157599449157715,53.3,0.046875
1,1.846762,0.20264291763305664,50.9,0.0
1,1.406973,0.2044222354888916,50.9,0.5
1,1.6876266,0.20754218101501465,0.0,0.15625
1,0.7540689,0.2069110870361328,0.0,0.0
1,1.3232408,0.20407819747924805,0.0,0.0
1,1.5376176,0.2430269718170166,51.6,0.15625
1,1.776959,0.20374131202697754,50.6,0.0
1,0.99555254,0.20671677589416504,52.4,0.0
1,0.29775673,0.2291860580444336,60.1,-27.890625
1,1.5726233,0.20542693138122559,55.0,0.0625
1,1.7853259,0.20586180686950684,56.1,3.484375
1,1.7389365,0.24396800994873047,68.9,-49.046875
1,0.9483266,0.20287466049194336,58.6,7.46875
1,1.5125577,0.20318913459777832,60.8,11.375
1,0.5082725,0.20763278007507324,51.8,17.96875
1,1.5663306,0.20706605911254883,60.1,11.734375
1,1.6261777,0.24502921104431152,58.9,1.3125
1,1.8159626,0.20548725128173828,58.4,6.359375
1,1.9781511,0.2008521556854248,54.6,0.0
1,1.1234943,0.20324206352233887,50.6,8.203125
1,0.97156286,0.20608305931091309,53.7,0.40625
1,1.6636084,0.20320701599121094,53.0,0.0
1,1.776959,0.20200181007385254,0.0,3.671875
1,1.2345966,0.2008192539215088,0.0,1.1875
1,0.22562963,0.20752286911010742,0.0,0.0
1,0.7305892,0.20971417427062988,54.8,0.03125
1,1.4732223,0.20691514015197754,58.8,-8.734375
1,1.4354792,0.25165390968322754,61.9,0.21875
1,1.5498189,0.20566582679748535,56.9,0.140625
1,1.7389365,0.20721697807312012,56.7,3.59375
1,1.0148515,0.29616308212280273,68.8,-44.5625
1,1.8174965,0.30417394638061523,71.8,-30.5625
1,1.0560967,0.2824540138244629,67.9,4.5
1,1.5238556,0.23152995109558105,61.4,9.359375
1,1.6147666,0.25904273986816406,70.3,7.28125
1,1.5597854,0.21529507637023926,56.8,18.921875
1,0.96681553,0.20329713821411133,52.4,3.78125
1,1.6147666,0.21202921867370605,57.1,5.28125
1,0.8817467,0.26152920722961426,0.0,-4.328125
1,1.4558495,0.20523810386657715,58.0,9.21875
1,1.4558495,0.2044057846069336,60.0,4.296875
1,1.8732874,0.2091062068939209,0.0,5.796875
1,1.7832016,0.2065112590789795,0.0,0.015625
1,1.2666085,0.21683406829833984,0.0,4.671875
1,1.8844892,0.2054300308227539,55.9,0.015625
1,1.8190776,0.1994030475616455,59.5,0.0
1,1.8548781,0.19670319557189941,54.1,4.34375
1,1.97039,0.20153403282165527,56.0,3.40625
1,0.07754507,0.20254898071289062,0.0,0.015625
1,0.054581527,0.24706506729125977,52.9,0.0
1,0.09142623,0.19559907913208008,51.2,3.53125
1,0.55872405,0.2037351131439209,55.2,0.0
1,0.10335488,0.19656872749328613,51.6,3.640625
1,0.043629117,0.19797921180725098,53.7,0.0
1,0.11294652,0.19797086715698242,57.1,0.0
1,0.07573591,0.19926214218139648,59.9,0.0
1,0.07365409,0.20223784446716309,60.1,0.0
1,0.08266052,0.1978318691253662,59.7,0.09375
1,1.8510679,0.19962000846862793,0.0,0.0
1,0.13653213,0.19615888595581055,57.1,0.890625
1,0.07345285,0.24001574516296387,54.9,0.0
1,0.051557094,0.20107817649841309,50.9,0.0
1,0.06067365,0.1995069980621338,56.5,0.0
1,0.5384831,0.2479078769683838,66.5,0.015625
1,0.13045557,0.19686579704284668,60.9,0.59375
1,0.0738193,0.20369315147399902,60.0,0.0
1,0.067839615,0.20056486129760742,52.8,0.0
1,0.08118507,0.2396688461303711,63.1,0.0
1,0.093075074,0.20865297317504883,58.3,0.0
1,0.06878518,0.24639058113098145,63.1,1.421875
1,0.1069961,0.21663379669189453,58.0,0.015625
1,0.13027412,0.2565310001373291,57.1,1.640625
1,1.8698213,0.21404290199279785,57.9,0.0
1,2.0032513,0.21405291557312012,0.0,0.0
1,1.8495909,0.2105090618133545,54.8,0.0
1,0.5596639,0.21811199188232422,55.4,0.0
1,0.58316964,0.24777698516845703,62.9,-87.90625
1,0.12380592,0.2612149715423584,62.7,-0.90625
1,0.5350331,0.27245616912841797,65.1,20.140625
1,0.5952971,0.24204111099243164,64.4,10.40625
1,0.076091506,0.22556281089782715,58.8,4.234375
1,1.8569245,0.24714279174804688,64.1,0.765625
1,0.57248914,0.2717781066894531,58.1,2.484375
1,0.13090654,0.2097609043121338,54.4,0.25
1,0.11072587,0.2064061164855957,52.1,0.75
1,0.11296236,0.21669411659240723,53.4,3.90625
1,0.083519265,0.20542097091674805,51.5,0.015625
1,0.55319154,0.21122193336486816,52.4,5.578125
1,1.8219079,0.22726702690124512,58.2,0.0
1,1.8549438,0.21316313743591309,55.6,0.0
1,0.5781902,0.24059486389160156,59.6,0.03125
1,0.11454527,0.20615911483764648,67.9,7.21875
1,1.8505598,0.20650124549865723,61.3,4.296875
1,0.08879881,0.25363874435424805,66.8,-1.578125
1,0.54278386,0.2050020694732666,63.6,0.0
1,0.28381854,0.2174990177154541,65.3,16.171875
1,0.37470362,0.2242879867553711,66.9,-19.203125
1,0.14839886,0.2129051685333252,58.5,1.34375
1,0.46059164,0.25069594383239746,59.4,3.90625
1,0.5647174,0.21138620376586914,55.8,6.203125
1,0.1053243,0.2105400562286377,60.8,9.453125
1,0.4083702,0.21106696128845215,61.0,0.03125
1,0.40114743,0.2814791202545166,68.4,-29.3125
1,0.3243829,0.21653413772583008,57.5,3.046875
1,0.15861712,0.2540168762207031,59.0,12.75
1,0.16569075,0.30398106575012207,71.4,-6.578125
1,0.47783786,0.2205791473388672,57.5,0.015625
1,0.17303987,0.22005105018615723,63.8,6.8125
1,0.636232,0.2148761749267578,59.1,15.84375
1,0.14636508,0.29825901985168457,69.7,-51.15625
1,0.32172406,0.22427701950073242,61.5,-25.5625
1,0.35928932,0.22000789642333984,62.4,4.359375
1,0.44109288,0.21915006637573242,60.0,5.0625
1,0.2303291,0.21604681015014648,55.3,0.015625
1,0.615567,0.2442629337310791,65.3,-68.375
1,0.6507943,0.30698323249816895,64.5,45.125
1,0.24435504,0.21572303771972656,52.0,14.34375
1,0.16569075,0.2226250171661377,59.9,0.5
1,0.20963152,0.35587120056152344,78.3,-42.984375
1,0.34722137,0.30813097953796387,74.3,-14.625
1,0.20339186,0.3246419429779053,76.3,12.3125
1,0.2354177,0.29775381088256836,77.7,-47.609375
1,0.47783786,0.28431200981140137,73.5,-5.203125
1,0.3103023,0.2802309989929199,77.1,-39.375
1,0.13665172,0.25892210006713867,70.3,12.5625
1,0.19837062,0.21770882606506348,55.9,10.265625
1,0.16459732,0.2950401306152344,61.3,112.59375
1,0.09283043,0.23757004737854004,73.5,-1.625
1,0.5525441,0.21423912048339844,57.1,8.515625
1,0.14002669,0.2837400436401367,71.2,14.34375
1,0.39127418,0.2589859962463379,64.9,-7.796875
1,0.59250546,0.22024202346801758,54.1,11.5625
1,0.16948122,0.21771025657653809,52.8,5.1875
1,0.4335893,0.23611092567443848,54.4,4.125
1,0.44688803,0.22858381271362305,57.4,0.34375
1,0.12621665,0.296799898147583,74.1,-2.375
1,0.3126889,0.21086692810058594,53.3,0.625
1,0.10608122,0.25907087326049805,61.0,0.0
1,0.46902624,0.24852681159973145,62.0,-2.71875
